iter	Logloss
0	0.6921225074
1	0.6911671752
2	0.6902625417
3	0.6893013886
4	0.6884249428
5	0.6876842484
6	0.6869718089
7	0.6862361303
8	0.6855279453
9	0.6848906988
10	0.6843977627
11	0.6837107684
12	0.6831608536
13	0.6826499577
14	0.6821057106
15	0.6815216915
16	0.6811301239
17	0.6806201774
18	0.6801112362
19	0.6796014593
20	0.6791910445
21	0.6787464598
22	0.678397513
23	0.6779160361
24	0.6775589562
25	0.6771403687
26	0.6768153893
27	0.6764328463
28	0.6760719433
29	0.675761328
30	0.6753732616
31	0.6750659347
32	0.6747630095
33	0.6745057651
34	0.6741900349
35	0.6738773183
36	0.6736104057
37	0.6733467851
38	0.6730143487
39	0.6727510926
40	0.6724282504
41	0.6721748579
42	0.6720133986
43	0.6717289995
44	0.6714689341
45	0.6712755844
46	0.671052974
47	0.6708280962
48	0.6705179917
49	0.670238447
50	0.6699673121
51	0.6696582867
52	0.6694223189
53	0.6692842243
54	0.6691216572
55	0.6688641951
56	0.6687425156
57	0.6685832361
58	0.6685302373
59	0.6683310351
60	0.6681212517
61	0.668022432
62	0.6677786106
63	0.667615014
64	0.6674904469
65	0.6674573083
66	0.6672368353
67	0.6670784639
68	0.6669625244
69	0.6667968504
70	0.6666212728
71	0.6663729748
72	0.6661999555
73	0.6659549699
74	0.6657870422
75	0.6657124072
76	0.6654920667
77	0.6653408821
78	0.6652092151
79	0.665027887
80	0.6648248312
81	0.6647216323
82	0.6644984456
83	0.6644402381
84	0.6641925108
85	0.6640167118
86	0.6638193779
87	0.6635637909
88	0.6634256012
89	0.6632877913
90	0.6631090944
91	0.6630057902
92	0.6628181359
93	0.6626763228
94	0.6624229286
95	0.6622154631
96	0.6620885726
97	0.6618399125
98	0.66166007
99	0.6615690192
100	0.6614208741
101	0.6612728799
102	0.6610977865
103	0.6608967004
104	0.6607641225
105	0.6605614536
106	0.6604322441
107	0.6603090227
108	0.6601094371
109	0.6599430215
110	0.659848457
111	0.6596428455
112	0.6595157372
113	0.6595052602
114	0.6594167273
115	0.6592166396
116	0.6589789581
117	0.6587961744
118	0.6587122458
119	0.6585871107
120	0.6584719331
121	0.6583309382
122	0.6583137516
123	0.6581199799
124	0.6579224707
125	0.6577958903
126	0.6577238216
127	0.6575947885
128	0.6574226336
129	0.6572663618
130	0.6572663616
131	0.6572348632
132	0.6570737662
133	0.656908426
134	0.6568160402
135	0.6567461662
136	0.6566524461
137	0.6564910013
138	0.6562984901
139	0.6561875851
140	0.6560477581
141	0.6559773387
142	0.6558420342
143	0.6556091118
144	0.6555205277
145	0.6553905434
146	0.6553714014
147	0.6552725604
148	0.6551233943
149	0.655016135
150	0.6548885016
151	0.6547829726
152	0.6547829725
153	0.6546947622
154	0.654577742
155	0.6544439812
156	0.6542421751
157	0.6540278306
158	0.6537972786
159	0.6536048651
160	0.6534433704
161	0.6533840428
162	0.6532424081
163	0.6531805312
164	0.6531111491
165	0.6529894003
166	0.6528410936
167	0.6526496125
168	0.6525526618
169	0.6524323388
170	0.6522415357
171	0.6520901166
172	0.6519057198
173	0.6517083808
174	0.6516990524
175	0.6515243823
176	0.6513457949
177	0.6511650038
178	0.6510764977
179	0.6510037627
180	0.6507955241
181	0.6505996729
182	0.6504292957
183	0.6502301747
184	0.6501167383
185	0.6500106954
186	0.6499146662
187	0.6497491192
188	0.6496447632
189	0.6494683371
190	0.6493532291
191	0.6491766678
192	0.6490340698
193	0.6488765549
194	0.6487490481
195	0.6486965178
196	0.6485681268
197	0.6485681267
198	0.6484147168
199	0.6482533927
200	0.6481502539
201	0.6480082242
202	0.6479522101
203	0.6478027069
204	0.6476770629
205	0.6474691946
206	0.6472672827
207	0.6470783927
208	0.6469359406
209	0.6467909039
210	0.646512865
211	0.6463669637
212	0.6463335911
213	0.6461391817
214	0.6460400057
215	0.6459530515
216	0.6458792498
217	0.6457633567
218	0.6456171419
219	0.6454960299
220	0.6453289918
221	0.6452379504
222	0.6451022966
223	0.6450355598
224	0.6447993007
225	0.644664144
226	0.6444875842
227	0.6443582732
228	0.6442322503
229	0.6440986829
230	0.6438947875
231	0.6438166169
232	0.6436491508
233	0.6434165805
234	0.6431974187
235	0.6430333186
236	0.6428828849
237	0.6426771716
238	0.6425033235
239	0.6424219811
240	0.6422661389
241	0.6421721755
242	0.6420246258
243	0.6418409516
244	0.641695703
245	0.6415544737
246	0.6414772085
247	0.6413612804
248	0.6412295418
249	0.6411360928
250	0.6409980571
251	0.6408583617
252	0.6407647434
253	0.6406158282
254	0.6405165196
255	0.6403803483
256	0.6402391968
257	0.6401391714
258	0.6399884554
259	0.6398846019
260	0.6397330572
261	0.639557477
262	0.6393617926
263	0.6392118051
264	0.6390757496
265	0.6389279563
266	0.638814497
267	0.6386709064
268	0.6385477192
269	0.6383529117
270	0.6381979718
271	0.6380477266
272	0.637941885
273	0.6377575323
274	0.6375848085
275	0.6374132787
276	0.6372847617
277	0.6371620022
278	0.6370041752
279	0.6368875679
280	0.6368320407
281	0.6366622948
282	0.6364901367
283	0.6364076899
284	0.6362068723
285	0.6360967443
286	0.6359905909
287	0.6358785014
288	0.6357471163
289	0.6356297597
290	0.6354722935
291	0.635290932
292	0.6351502954
293	0.634944627
294	0.6348520868
295	0.6346217409
296	0.6344495467
297	0.6343712305
298	0.6342230918
299	0.6341098803
