iter	Passed	Remaining
0	7	1935
1	11	1445
2	15	1247
3	18	1147
4	22	1124
5	27	1119
6	31	1110
7	36	1102
8	40	1094
9	45	1082
10	49	1075
11	53	1067
12	58	1059
13	63	1075
14	70	1097
15	76	1114
16	82	1134
17	88	1143
18	93	1131
19	97	1118
20	101	1110
21	105	1093
22	109	1077
23	113	1070
24	117	1059
25	121	1046
26	125	1032
27	129	1027
28	133	1014
29	136	1002
30	141	997
31	145	991
32	149	984
33	154	983
34	159	980
35	164	975
36	169	974
37	172	963
38	176	955
39	181	952
40	186	951
41	193	958
42	197	949
43	201	941
44	204	931
45	208	926
46	212	917
47	215	908
48	219	902
49	224	899
50	232	906
51	236	899
52	239	891
53	243	882
54	247	877
55	251	869
56	254	862
57	258	857
58	262	849
59	266	842
60	269	835
61	273	830
62	277	822
63	280	815
64	284	808
65	289	806
66	293	801
67	298	799
68	303	796
69	307	790
70	312	786
71	315	781
72	320	777
73	326	777
74	331	773
75	335	767
76	341	767
77	348	767
78	354	766
79	357	760
80	364	759
81	368	754
82	372	750
83	378	747
84	384	746
85	391	746
86	396	742
87	400	737
88	405	733
89	410	730
90	418	730
91	424	729
92	431	728
93	436	723
94	440	717
95	444	713
96	449	708
97	453	703
98	458	700
99	465	698
100	472	696
101	476	691
102	481	686
103	486	683
104	493	681
105	499	678
106	503	673
107	508	668
108	514	665
109	520	662
110	527	660
111	533	657
112	538	653
113	542	646
114	548	643
115	553	639
116	559	636
117	565	632
118	570	627
119	577	625
120	581	620
121	589	618
122	596	615
123	603	613
124	610	610
125	616	606
126	621	601
127	625	596
128	630	591
129	635	586
130	640	581
131	645	576
132	651	573
133	657	569
134	663	565
135	670	562
136	674	556
137	680	551
138	685	547
139	689	542
140	694	537
141	699	532
142	704	527
143	709	522
144	713	516
145	717	510
146	721	505
147	725	500
148	729	494
149	732	488
150	738	484
151	742	478
152	746	473
153	751	468
154	756	463
155	763	460
156	767	454
157	772	449
158	776	444
159	780	439
160	784	433
161	790	429
162	794	424
163	798	418
164	803	414
165	808	408
166	812	403
167	817	399
168	821	393
169	827	389
170	833	385
171	840	381
172	844	375
173	847	370
174	851	364
175	855	359
176	860	354
177	864	349
178	869	344
179	873	339
180	878	334
181	884	330
182	890	326
183	895	321
184	900	316
185	904	311
186	910	306
187	917	302
188	922	297
189	927	292
190	931	287
191	937	283
192	944	278
193	949	274
194	954	269
195	959	264
196	964	259
197	967	254
198	973	249
199	978	244
200	986	240
201	990	235
202	994	230
203	999	225
204	1004	220
205	1008	215
206	1013	210
207	1017	205
208	1021	200
209	1026	195
210	1031	190
211	1035	185
212	1040	180
213	1045	175
214	1049	170
215	1054	166
216	1061	161
217	1067	156
218	1072	151
219	1076	146
220	1082	142
221	1089	137
222	1094	132
223	1099	127
224	1106	122
225	1110	117
226	1114	112
227	1119	108
228	1124	103
229	1128	98
230	1133	93
231	1138	88
232	1142	83
233	1147	78
234	1151	73
235	1155	68
236	1160	63
237	1163	58
238	1167	53
239	1171	48
240	1176	43
241	1180	39
242	1186	34
243	1191	29
244	1197	24
245	1203	19
246	1211	14
247	1218	9
248	1224	4
249	1229	0
